worker_id,chunk_num,total_chunks,processing_time_s,gpu_memory_gb
9,8,10,0.06,1.25
0,4,10,0.06,1.25
7,7,10,0.07,1.25
9,9,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.07,1.25
9,10,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.06,1.25
0,7,10,0.07,1.25
7,10,10,0.07,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.06,1.25
9,1,10,0.07,1.25
9,2,10,0.06,1.25
7,1,10,0.07,1.25
9,3,10,0.06,1.25
7,2,10,0.06,1.25
9,4,10,0.06,1.25
7,3,10,0.07,1.25
9,5,10,0.06,1.25
0,1,10,0.06,1.25
7,4,10,0.07,1.25
9,6,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,7,10,0.06,1.25
7,6,10,0.06,1.25
0,3,10,0.07,1.25
9,8,10,0.06,1.25
7,7,10,0.06,1.25
0,4,10,0.07,1.25
9,9,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.07,1.25
9,10,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.07,1.25
0,7,10,0.07,1.25
7,10,10,0.07,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.06,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
7,1,10,0.06,1.25
9,3,10,0.06,1.25
7,2,10,0.06,1.25
9,4,10,0.06,1.25
7,3,10,0.06,1.25
9,5,10,0.06,1.25
0,1,10,0.06,1.25
7,4,10,0.06,1.25
9,6,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,7,10,0.06,1.25
0,3,10,0.07,1.25
7,6,10,0.06,1.25
9,8,10,0.06,1.25
0,4,10,0.07,1.25
7,7,10,0.06,1.25
9,9,10,0.06,1.25
0,5,10,0.07,1.25
7,8,10,0.06,1.25
9,10,10,0.06,1.25
0,6,10,0.07,1.25
7,9,10,0.06,1.25
0,7,10,0.07,1.25
7,10,10,0.07,1.25
0,8,10,0.07,1.25
0,9,10,0.06,1.25
0,10,10,0.06,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
7,1,10,0.06,1.25
9,3,10,0.06,1.25
7,2,10,0.06,1.25
9,4,10,0.06,1.25
7,3,10,0.06,1.25
9,5,10,0.06,1.25
7,4,10,0.06,1.25
0,1,10,0.06,1.25
9,6,10,0.06,1.25
7,5,10,0.06,1.25
0,2,10,0.06,1.25
9,7,10,0.06,1.25
7,6,10,0.06,1.25
0,3,10,0.06,1.25
9,8,10,0.06,1.25
7,7,10,0.06,1.25
0,4,10,0.06,1.25
9,9,10,0.07,1.25
7,8,10,0.07,1.25
0,5,10,0.06,1.25
9,10,10,0.06,1.25
7,9,10,0.06,1.25
0,6,10,0.07,1.25
7,10,10,0.06,1.25
0,7,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.06,1.25
9,2,10,0.07,1.25
7,1,10,0.06,1.25
9,3,10,0.06,1.25
7,2,10,0.06,1.25
9,4,10,0.06,1.25
7,3,10,0.06,1.25
9,5,10,0.06,1.25
0,1,10,0.06,1.25
7,4,10,0.06,1.25
9,6,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,7,10,0.06,1.25
0,3,10,0.06,1.25
7,6,10,0.06,1.25
9,8,10,0.06,1.25
0,4,10,0.06,1.25
7,7,10,0.06,1.25
9,9,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.06,1.25
9,10,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.05,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
7,1,10,0.06,1.25
9,3,10,0.06,1.25
7,2,10,0.06,1.25
9,4,10,0.06,1.25
7,3,10,0.07,1.25
9,5,10,0.06,1.25
0,1,10,0.06,1.25
7,4,10,0.06,1.25
9,6,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,7,10,0.06,1.25
0,3,10,0.06,1.25
7,6,10,0.07,1.25
9,8,10,0.06,1.25
0,4,10,0.06,1.25
7,7,10,0.06,1.25
9,9,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.06,1.25
9,10,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.07,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.07,1.25
9,2,10,0.06,1.25
7,1,10,0.06,1.25
9,3,10,0.06,1.25
7,2,10,0.06,1.25
9,4,10,0.07,1.25
7,3,10,0.07,1.25
9,5,10,0.06,1.25
0,1,10,0.06,1.25
7,4,10,0.07,1.25
9,6,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,7,10,0.06,1.25
0,3,10,0.06,1.25
7,6,10,0.07,1.25
9,8,10,0.06,1.25
0,4,10,0.06,1.25
7,7,10,0.07,1.25
9,9,10,0.07,1.25
0,5,10,0.07,1.25
7,8,10,0.07,1.25
9,10,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.06,1.25
0,7,10,0.07,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
7,1,10,0.06,1.25
9,3,10,0.06,1.25
7,2,10,0.07,1.25
9,4,10,0.06,1.25
7,3,10,0.07,1.25
9,5,10,0.06,1.25
0,1,10,0.06,1.25
7,4,10,0.06,1.25
9,6,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,7,10,0.06,1.25
0,3,10,0.06,1.25
7,6,10,0.06,1.25
9,8,10,0.06,1.25
0,4,10,0.06,1.25
7,7,10,0.06,1.25
9,9,10,0.07,1.25
0,5,10,0.06,1.25
7,8,10,0.06,1.25
9,10,10,0.06,1.25
0,6,10,0.07,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
7,1,10,0.06,1.25
9,3,10,0.06,1.25
7,2,10,0.06,1.25
9,4,10,0.06,1.25
7,3,10,0.06,1.25
9,5,10,0.06,1.25
0,1,10,0.06,1.25
7,4,10,0.06,1.25
9,6,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,7,10,0.06,1.25
0,3,10,0.06,1.25
7,6,10,0.06,1.25
9,8,10,0.06,1.25
0,4,10,0.06,1.25
7,7,10,0.06,1.25
9,9,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.06,1.25
9,10,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
9,3,10,0.06,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.07,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
0,1,10,0.06,1.25
9,6,10,0.07,1.25
7,4,10,0.07,1.25
0,2,10,0.06,1.25
9,7,10,0.06,1.25
7,5,10,0.06,1.25
0,3,10,0.06,1.25
9,8,10,0.06,1.25
7,6,10,0.07,1.25
0,4,10,0.07,1.25
9,9,10,0.07,1.25
7,7,10,0.06,1.25
0,5,10,0.06,1.25
9,10,10,0.06,1.25
7,8,10,0.06,1.25
0,6,10,0.07,1.25
7,9,10,0.07,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.08,1.25
0,9,10,0.06,1.25
0,10,10,0.06,1.25
9,1,10,0.07,1.25
9,2,10,0.07,1.25
9,3,10,0.07,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.07,1.25
0,1,10,0.07,1.25
9,6,10,0.06,1.25
7,4,10,0.06,1.25
0,2,10,0.06,1.25
9,7,10,0.06,1.25
7,5,10,0.07,1.25
0,3,10,0.06,1.25
9,8,10,0.06,1.25
7,6,10,0.06,1.25
0,4,10,0.07,1.25
9,9,10,0.07,1.25
7,7,10,0.06,1.25
0,5,10,0.06,1.25
9,10,10,0.06,1.25
7,8,10,0.06,1.25
0,6,10,0.07,1.25
7,9,10,0.07,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.08,1.25
9,2,10,0.06,1.25
9,3,10,0.06,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.07,1.25
0,1,10,0.06,1.25
9,6,10,0.06,1.25
7,4,10,0.06,1.25
0,2,10,0.06,1.25
9,7,10,0.06,1.25
7,5,10,0.07,1.25
0,3,10,0.07,1.25
9,8,10,0.06,1.25
7,6,10,0.06,1.25
0,4,10,0.06,1.25
9,9,10,0.06,1.25
7,7,10,0.06,1.25
0,5,10,0.06,1.25
9,10,10,0.06,1.25
7,8,10,0.06,1.25
0,6,10,0.07,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.07,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
9,3,10,0.06,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
0,1,10,0.06,1.25
9,6,10,0.07,1.25
7,4,10,0.06,1.25
0,2,10,0.06,1.25
9,7,10,0.06,1.25
7,5,10,0.07,1.25
0,3,10,0.06,1.25
9,8,10,0.06,1.25
7,6,10,0.06,1.25
0,4,10,0.06,1.25
9,9,10,0.06,1.25
7,7,10,0.06,1.25
0,5,10,0.06,1.25
9,10,10,0.06,1.25
7,8,10,0.07,1.25
0,6,10,0.06,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
9,3,10,0.06,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
0,1,10,0.06,1.25
9,6,10,0.06,1.25
7,4,10,0.06,1.25
0,2,10,0.06,1.25
9,7,10,0.06,1.25
7,5,10,0.06,1.25
0,3,10,0.06,1.25
9,8,10,0.06,1.25
7,6,10,0.06,1.25
0,4,10,0.06,1.25
9,9,10,0.06,1.25
7,7,10,0.06,1.25
0,5,10,0.06,1.25
9,10,10,0.06,1.25
7,8,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.07,1.25
9,1,10,0.07,1.25
9,2,10,0.06,1.25
9,3,10,0.06,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
0,1,10,0.06,1.25
9,6,10,0.07,1.25
7,4,10,0.06,1.25
0,2,10,0.06,1.25
9,7,10,0.06,1.25
7,5,10,0.06,1.25
0,3,10,0.06,1.25
9,8,10,0.06,1.25
7,6,10,0.06,1.25
0,4,10,0.06,1.25
9,9,10,0.07,1.25
7,7,10,0.06,1.25
0,5,10,0.06,1.25
9,10,10,0.06,1.25
7,8,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.09,1.25
0,10,10,0.05,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
9,3,10,0.08,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
0,1,10,0.06,1.25
9,6,10,0.06,1.25
7,4,10,0.06,1.25
0,2,10,0.06,1.25
9,7,10,0.06,1.25
7,5,10,0.06,1.25
0,3,10,0.06,1.25
9,8,10,0.06,1.25
7,6,10,0.06,1.25
0,4,10,0.06,1.25
9,9,10,0.07,1.25
7,7,10,0.06,1.25
0,5,10,0.06,1.25
9,10,10,0.06,1.25
7,8,10,0.07,1.25
0,6,10,0.06,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.07,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
9,3,10,0.07,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
9,6,10,0.06,1.25
0,1,10,0.08,1.25
7,4,10,0.06,1.25
0,2,10,0.06,1.25
9,7,10,0.07,1.25
7,5,10,0.07,1.25
0,3,10,0.06,1.25
9,8,10,0.07,1.25
7,6,10,0.06,1.25
0,4,10,0.06,1.25
9,9,10,0.07,1.25
7,7,10,0.06,1.25
9,10,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.06,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
9,3,10,0.06,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.08,1.25
7,3,10,0.06,1.25
9,6,10,0.08,1.25
0,1,10,0.06,1.25
7,4,10,0.06,1.25
9,7,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,8,10,0.06,1.25
0,3,10,0.07,1.25
7,6,10,0.06,1.25
9,9,10,0.07,1.25
0,4,10,0.07,1.25
7,7,10,0.06,1.25
9,10,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.07,1.25
0,9,10,0.06,1.25
0,10,10,0.06,1.25
9,1,10,0.06,1.25
9,2,10,0.08,1.25
9,3,10,0.07,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
0,1,10,0.06,1.25
9,6,10,0.06,1.25
7,4,10,0.06,1.25
9,7,10,0.06,1.25
0,2,10,0.07,1.25
7,5,10,0.06,1.25
9,8,10,0.06,1.25
0,3,10,0.07,1.25
7,6,10,0.06,1.25
9,9,10,0.06,1.25
0,4,10,0.06,1.25
7,7,10,0.06,1.25
9,10,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.07,1.25
0,6,10,0.07,1.25
7,9,10,0.06,1.25
0,7,10,0.07,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.06,1.25
9,2,10,0.07,1.25
9,3,10,0.06,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
9,6,10,0.06,1.25
0,1,10,0.06,1.25
7,4,10,0.06,1.25
9,7,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,8,10,0.06,1.25
0,3,10,0.06,1.25
7,6,10,0.06,1.25
9,9,10,0.06,1.25
0,4,10,0.06,1.25
7,7,10,0.06,1.25
9,10,10,0.05,1.25
0,5,10,0.06,1.25
7,8,10,0.06,1.25
0,6,10,0.07,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.05,1.25
0,8,10,0.07,1.25
0,9,10,0.06,1.25
0,10,10,0.06,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
9,3,10,0.06,1.25
7,1,10,0.06,1.25
9,4,10,0.07,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
9,6,10,0.07,1.25
0,1,10,0.06,1.25
7,4,10,0.06,1.25
9,7,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,8,10,0.06,1.25
0,3,10,0.06,1.25
7,6,10,0.06,1.25
9,9,10,0.07,1.25
0,4,10,0.06,1.25
7,7,10,0.06,1.25
9,10,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.06,1.25
0,6,10,0.07,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.08,1.25
0,10,10,0.06,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
9,3,10,0.06,1.25
7,1,10,0.06,1.25
9,4,10,0.06,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
9,6,10,0.06,1.25
0,1,10,0.06,1.25
7,4,10,0.06,1.25
9,7,10,0.06,1.25
0,2,10,0.06,1.25
7,5,10,0.06,1.25
9,8,10,0.06,1.25
0,3,10,0.06,1.25
7,6,10,0.06,1.25
9,9,10,0.06,1.25
0,4,10,0.07,1.25
7,7,10,0.06,1.25
9,10,10,0.06,1.25
0,5,10,0.07,1.25
7,8,10,0.06,1.25
0,6,10,0.07,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.07,1.25
0,9,10,0.07,1.25
0,10,10,0.06,1.25
9,1,10,0.06,1.25
9,2,10,0.07,1.25
9,3,10,0.06,1.25
7,1,10,0.06,1.25
9,4,10,0.07,1.25
7,2,10,0.06,1.25
9,5,10,0.06,1.25
7,3,10,0.06,1.25
9,6,10,0.07,1.25
0,1,10,0.06,1.25
9,7,10,0.06,1.25
7,4,10,0.07,1.25
0,2,10,0.06,1.25
9,8,10,0.07,1.25
7,5,10,0.07,1.25
0,3,10,0.06,1.25
9,9,10,0.06,1.25
7,6,10,0.06,1.25
0,4,10,0.06,1.25
9,10,10,0.06,1.25
7,7,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.07,1.25
0,6,10,0.06,1.25
7,9,10,0.07,1.25
0,7,10,0.06,1.25
7,10,10,0.05,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.05,1.25
9,1,10,0.06,1.25
9,2,10,0.07,1.25
9,3,10,0.07,1.25
9,4,10,0.06,1.25
7,1,10,0.07,1.25
9,5,10,0.08,1.25
7,2,10,0.07,1.25
9,6,10,0.07,1.25
7,3,10,0.07,1.25
0,1,10,0.07,1.25
9,7,10,0.06,1.25
7,4,10,0.07,1.25
0,2,10,0.07,1.25
7,5,10,0.06,1.25
9,8,10,0.06,1.25
0,3,10,0.07,1.25
7,6,10,0.06,1.25
9,9,10,0.06,1.25
0,4,10,0.06,1.25
9,10,10,0.06,1.25
7,7,10,0.07,1.25
0,5,10,0.08,1.25
7,8,10,0.06,1.25
0,6,10,0.07,1.25
7,9,10,0.06,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.06,1.25
9,1,10,0.07,1.25
9,2,10,0.06,1.25
9,3,10,0.06,1.25
9,4,10,0.06,1.25
7,1,10,0.06,1.25
9,5,10,0.06,1.25
7,2,10,0.06,1.25
9,6,10,0.06,1.25
7,3,10,0.07,1.25
0,1,10,0.07,1.25
9,7,10,0.06,1.25
7,4,10,0.06,1.25
0,2,10,0.06,1.25
9,8,10,0.06,1.25
7,5,10,0.06,1.25
0,3,10,0.06,1.25
9,9,10,0.06,1.25
7,6,10,0.06,1.25
0,4,10,0.06,1.25
9,10,10,0.06,1.25
7,7,10,0.06,1.25
0,5,10,0.06,1.25
7,8,10,0.06,1.25
0,6,10,0.06,1.25
7,9,10,0.07,1.25
0,7,10,0.06,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.06,1.25
9,1,10,0.06,1.25
9,2,10,0.06,1.25
9,3,10,0.07,1.25
9,4,10,0.06,1.25
7,1,10,0.06,1.25
9,5,10,0.06,1.25
7,2,10,0.06,1.25
9,6,10,0.06,1.25
7,3,10,0.06,1.25
0,1,10,0.07,1.25
9,7,10,0.06,1.25
7,4,10,0.06,1.25
0,2,10,0.07,1.25
9,8,10,0.06,1.25
7,5,10,0.06,1.25
0,3,10,0.06,1.25
9,9,10,0.06,1.25
7,6,10,0.06,1.25
0,4,10,0.07,1.25
9,10,10,0.06,1.25
7,7,10,0.06,1.25
0,5,10,0.07,1.25
7,8,10,0.06,1.25
0,6,10,0.08,1.25
7,9,10,0.06,1.25
0,7,10,0.07,1.25
7,10,10,0.06,1.25
0,8,10,0.06,1.25
0,9,10,0.06,1.25
0,10,10,0.06,1.25
9,1,10,0.05,1.25
9,2,10,0.05,1.25
9,3,10,0.05,1.25
9,4,10,0.06,1.25
9,5,10,0.05,1.25
